name,min_AIC,MSE
"Harrisburg-Carlisle, PA3br",233.0243269,30621.93035
"Harrisburg-Carlisle, PA4br",228.6643979,28535.77167
"Hartford-East Hartford-Middletown, CT_Overall",212.5999545,39936.90794
"Hartford-East Hartford-Middletown, CT_Studio",191.587786,17520.23958
"Hartford-East Hartford-Middletown, CT1br",202.6644695,27145.45744
"Hartford-East Hartford-Middletown, CT2br",214.0762602,44713.17373
"Hartford-East Hartford-Middletown, CT3br",222.8912853,55304.83458
"Hartford-East Hartford-Middletown, CT4br",233.6861462,83225.64406
"Houston-The Woodlands-Sugar Land, TX_Overall",159.2244306,39481.6023
"Houston-The Woodlands-Sugar Land, TX_Studio",149.4703163,22598.09156
"Houston-The Woodlands-Sugar Land, TX1br",10,1.69E+115
"Houston-The Woodlands-Sugar Land, TX2br",150.4024821,40158.2328
"Houston-The Woodlands-Sugar Land, TX3br",8,3.43E+59
"Houston-The Woodlands-Sugar Land, TX4br",8,1.67E+200
"Huntsville, AL_Overall",192.0252022,19939.52086
"Huntsville, AL_Studio",167.8133662,9155.303793
"Huntsville, AL1br",177.7953301,12376.03865
"Huntsville, AL2br",188.9800153,17562.0652
"Huntsville, AL3br",200.4652886,27219.61044
"Huntsville, AL4br",211.2294491,40239.16139
"Indianapolis-Carmel-Anderson, IN_Overall",164.4683004,25165.96543
"Indianapolis-Carmel-Anderson, IN_Studio",147.3690489,14136.22554
"Indianapolis-Carmel-Anderson, IN1br",154.7532475,16767.55535
"Indianapolis-Carmel-Anderson, IN2br",164.4683004,25165.96543
"Indianapolis-Carmel-Anderson, IN3br",174.0745883,36577.64813
"Indianapolis-Carmel-Anderson, IN4br",184.3918138,53952.83481
"Jackson, MS_Overall",186.795895,21492.24455
"Jackson, MS_Studio",173.2509715,14150.1741
"Jackson, MS1br",176.599971,14926.60276
"Jackson, MS2br",184.3502623,20825.0279
"Jackson, MS3br",190.2036849,27317.67209
"Jackson, MS4br",202.1869799,38100.89322
"Jackson, TN_Overall",182.3528875,21818.63224
"Jackson, TN_Studio",145.9693377,6236.958626
"Jackson, TN1br",155.198294,8954.450064
"Jackson, TN2br",173.8966713,12762.16602
"Jackson, TN3br",186.9183087,22118.53539
"Jackson, TN4br",195.0955699,22917.17343
"Jacksonville, FL_Overall",184.3508515,35293.08597
"Jacksonville, FL_Studio",171.2290561,15799.15736
"Jacksonville, FL1br",175.0773237,22130.57625
"Jacksonville, FL2br",180.0877892,31410.07483
"Jacksonville, FL3br",197.2478013,45847.34377
"Jacksonville, FL4br",209.5835603,75535.15718
"Jacksonville, NC_Overall",202.7916697,28851.16383
"Jacksonville, NC_Studio",170.7412624,8695.615674
"Jacksonville, NC1br",180.0360583,15748.73761
"Jacksonville, NC2br",193.2331534,20593.17384
"Jacksonville, NC3br",210.8183318,37462.17963
"Jacksonville, NC4br",216.1906756,58749.61994
"Kalamazoo-Portage, MI_Overall",208.1114661,15256.33723
"Kalamazoo-Portage, MI_Studio",191.4371403,9181.894501
"Kalamazoo-Portage, MI1br",195.8411703,10405.04152
"Kalamazoo-Portage, MI2br",207.8828953,16672.63789
